"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C8","0603C","25.019mm","16.637mm","25.019mm","16.637mm","25.019mm","17.3482mm","B","270.00","1pF"
"C7","0603C","26.797mm","16.637mm","26.797mm","16.637mm","26.797mm","15.9258mm","B","90.00","NC"
"C6","0603C","18.2136mm","32.6898mm","18.2136mm","32.6898mm","17.5024mm","32.6898mm","B","0.00","1nF"
"C5","0603C","23.114mm","16.637mm","23.114mm","16.637mm","23.114mm","17.3482mm","B","270.00","1.5pF"
"C4","0603C","27.305mm","14.097mm","27.305mm","14.097mm","28.0162mm","14.097mm","B","180.00","0R"
"C3","0603C","23.876mm","14.097mm","23.876mm","14.097mm","24.5872mm","14.097mm","B","180.00","0R"
"C2","0603C","25.654mm","20.955mm","25.654mm","20.955mm","26.3652mm","20.955mm","B","180.00","1uF/6.3V"
"C1","0603C","20.32mm","14.097mm","20.32mm","14.097mm","19.6088mm","14.097mm","B","360.00","NC_R0"
"BZ1","BUZZER_D93_L40","33.782mm","52.07mm","33.782mm","52.07mm","35.782mm","52.07mm","B","180.00","BUZZER"
"ANT1","ANT","19.05mm","18.107mm","19.05mm","17.907mm","19.05mm","16.707mm","B","180.00","ANT"
"J4","3P-2.54MM","21.5531mm","77.47mm","19.0131mm","77.47mm","19.0131mm","77.47mm","T","360.00","Header 3"

